id;nom;prenom;genre;dateNaissance;codePostal;telephone;parcours;ects;moyenne;login;password;status
0;Suprème;Leader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;admin;$2y$10$nU/1kcLjeiWLYqz0ebYlau4uOJ5Raajd5SVnFimTd./rxGhW7XIjW;admin
1;1;1;Homme;02/05/2022;1;1;NULL;NULL;NULL;1;$2y$10$LE7No8Gy1Xg1FpObELVXo.FXsDx5ZE4.iBlhY990v0//53xLPxBSO;responsable
2;Dupre;Gabriel-Victor;NULL;NULL;NULL;NULL;gsi;30;17,417;Gabriel-VictorDupre@cy-tech.fr;$2y$10$91oCy32l4j9FlRe9ZCAB2etTxqfgVJbqc69DRwtAA87dcMBJCmL56;etudiant
3;Ribeiro;Marc;NULL;NULL;NULL;NULL;gsi;30;16,946;MarcRibeiro@cy-tech.fr;$2y$10$o2LCTI0rD5T7nA4hyMxZSe0F3dOtsOBAVwVPXpRuQHaJFMOJu122q;etudiant
4;Sauvage;Susan;NULL;NULL;NULL;NULL;gsi;30;16,742;SusanSauvage@cy-tech.fr;$2y$10$2lHsqA62x3kQVFX8SbIQfuQ9Vqf2mLKgLx7co1T1R1y0c8LhqinOu;etudiant
5;Alves;Denis-Adrien;NULL;NULL;NULL;NULL;gsi;30;16,662;Denis-AdrienAlves@cy-tech.fr;$2y$10$3o0BfGEqzso9zNqrReESzuIVseYGLFhxYtiC2GlIPBYRAMkRU2R.m;etudiant
6;Levy;Michel;NULL;NULL;NULL;NULL;gsi;30;16,572;MichelLevy@cy-tech.fr;$2y$10$h2KA3BSC5caJXGLicalJUepN/dj467SEQX2I7AqnoQGbRiWu8/pn.;etudiant
7;Boulay;Adélaïde;NULL;NULL;NULL;NULL;gsi;30;16,54;AdélaïdeBoulay@cy-tech.fr;$2y$10$EDUDfZZycMIo8srRkyXgvOCRYnY4L2v21CrhLqfZL68iB/IQXGhXi;etudiant
8;Seguin;Marthe;NULL;NULL;NULL;NULL;gsi;30;16,529;MartheSeguin@cy-tech.fr;$2y$10$Qd4vLKS8p0KgOWA.H.s47eIxghm4GaxlShNyHcAg0zZ56z41fH65y;etudiant
9;Jacquet;Noël;NULL;NULL;NULL;NULL;gsi;30;16,427;NoëlJacquet@cy-tech.fr;$2y$10$KjPzCzgfzukfqrVvYdICX.7RxjJlYX7HH2jEUtWoyWXTiHd5IfEGu;etudiant
10;Mallet;Monique;NULL;NULL;NULL;NULL;gsi;30;16,333;MoniqueMallet@cy-tech.fr;$2y$10$Q9BjOmAK52M8BK061h2PieK75/P1hqGVrPAT2CEsXfNKiADe.GZoq;etudiant
11;Lamy-Besson;Charles;NULL;NULL;NULL;NULL;gsi;30;16,301;CharlesLamy-Besson@cy-tech.fr;$2y$10$0MweqR4zp4uomVu59qZXU.EMnEQlLJZp2NGAmd0cy6gqXvJrUkvG6;etudiant
12;Herve;François;NULL;NULL;NULL;NULL;gsi;30;16,26;FrançoisHerve@cy-tech.fr;$2y$10$mWg.FcbYVXhgexVlR5yTge5H3AA17c2j8NdaRisISuE5KQ036HgEa;etudiant
13;Hamel;Marine;NULL;NULL;NULL;NULL;gsi;30;16,199;MarineHamel@cy-tech.fr;$2y$10$uPuoaUzU888hnoQN0MWbc.hcp6so7Vjqk/xXfjOZ9roPRXJaoKvwW;etudiant
14;Marie;Caroline;NULL;NULL;NULL;NULL;gsi;30;16,129;CarolineMarie@cy-tech.fr;$2y$10$8kTcP5xbhhBmbXllzJ7IMeBRLxjc5f0uMhEh/6N4d2l7XUKW33yI.;etudiant
